Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage - Temporal	Coverage - Spatial	Physical Description	Language	Website	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1																											chc5278000015						chc52780000150001001	image/tiff	116469976 Bytes	5501	7056	1646341962	RGB	8	600	chc52780000150001001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/0	0	8.jp2	/chc5278/image/8.jp2
Page 2																											chc5278000015						chc52780000150002001	image/tiff	108363396 Bytes	5159	7000	2320532052	RGB	8	600	chc52780000150002001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/1	1	9.jp2	/chc5278/image/9.jp2
Page 3																											chc5278000015						chc52780000150003001	image/tiff	108401228 Bytes	5158	7004	891568884	RGB	8	600	chc52780000150003001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/2	2	10.jp2	/chc5278/image/10.jp2
Adolfo de Obieta letter to Virgilio Piñera, June 13, 1944		Obieta, Adolfo de				Letters; Piñera, Virgilio, 1912-1979; Obieta, Adolfo de	Correspondence		1944-06-13	1940-1950	Buenos Aires (Argentina)	1 letter	spa		University of Miami Libraries. Cuban Heritage Collection.	Virgilio Piñera Collection	CHC5278		Box No. 1; Folder No. 2; Folder Title: Correspondence: to Virgilio Piñera from Adolfo de Obieta; Folder Date: n.d., 1942-1944, 1949, 1953			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		chc5278000015	Text																2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/3	3	11.cpd	/chc5278/image/11.cpd
Page 1																											chc5278000004						chc52780000040001001	image/tiff	25631296 Bytes	3987	2141	681541891	RGB	8	600	chc52780000040001001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/4	4	12.jp2	/chc5278/image/12.jp2
Page 2																											chc5278000004						chc52780000040002001	image/tiff	25831816 Bytes	3994	2154	2272666432	RGB	8	600	chc52780000040002001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/5	5	13.jp2	/chc5278/image/13.jp2
Page 3																											chc5278000004						chc52780000040003001	image/tiff	103022796 Bytes	5169	6642	3142716700	RGB	8	600	chc52780000040003001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/6	6	14.jp2	/chc5278/image/14.jp2
Page 4																											chc5278000004						chc52780000040004001	image/tiff	102948808 Bytes	5163	6645	4028020259	RGB	8	600	chc52780000040004001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/7	7	15.jp2	/chc5278/image/15.jp2
Virgilio Piñera letter to Adolfo de Obieta, November 25, 1944		Piñera, Virgilio				Letters; Piñera, Virgilio, 1912-1979; Obieta, Adolfo de	Correspondence		1944-11-25	1940-1950	Havana (Cuba)	1 letter; 1 envelope	spa		University of Miami Libraries. Cuban Heritage Collection.	Virgilio Piñera Collection	CHC5278		Box No. 1; Folder No. 1; Folder Title: Correspondence: from Virgilio Piñera to Adolfo de Obieta; Folder Date: 1942-1945, 1948, 1953			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		chc5278000004	Text																2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/8	8	16.cpd	/chc5278/image/16.cpd
Page 1																											chc5278000007						chc52780000070001001	image/tiff	68365616 Bytes	3758	6062	312905027	RGB	8	600	chc52780000070001001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/9	9	17.jp2	/chc5278/image/17.jp2
Page 2																											chc5278000007						chc52780000070002001	image/tiff	68904308 Bytes	3784	6068	3381330261	RGB	8	600	chc52780000070002001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/10	10	18.jp2	/chc5278/image/18.jp2
