Title	Creator	Contibutors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Rights	Copyright	Editor	Attention	Object No.	Digital ID	Type	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 9												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000007	00150000070011001	Text	image/tiff					3269	4207	0xA117EF93			00150000070011001.tif		2006-12-10	2008-02-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/67	67	68.jp2	/chc0015/image/68.jp2
Page 10												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000007	00150000070012001	Text	image/tiff					3322	4169	0xE20063E9			00150000070012001.tif		2006-12-10	2008-02-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/68	68	69.jp2	/chc0015/image/69.jp2
Page 11												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000007	00150000070013001	Text	image/tiff					3281	4195	0xFB3AB3F5			00150000070013001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/69	69	70.jp2	/chc0015/image/70.jp2
Page 12												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000007	00150000070014001	Text	image/tiff					3307	4169	0xBC368C98			00150000070014001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/70	70	71.jp2	/chc0015/image/71.jp2
Page 13												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000007	00150000070015001	Text	image/tiff					3296	4195	0xE31E0858			00150000070015001.tif		2006-12-10	2008-02-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/71	71	72.jp2	/chc0015/image/72.jp2
Page 14												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000007	00150000070016001	Text	image/tiff					3281	4169	0x94631136			00150000070016001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/72	72	73.jp2	/chc0015/image/73.jp2
Page 15												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000007	00150000070017001	Text	image/tiff					3296	4158	0x1A6DABB7			00150000070017001.tif		2006-12-10	2008-02-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/73	73	74.jp2	/chc0015/image/74.jp2
Page 16												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000007	00150000070018001	Text	image/tiff					3310	4224	0x503737EF			00150000070018001.tif		2006-12-10	2008-02-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/74	74	75.jp2	/chc0015/image/75.jp2
Page 17												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000007	00150000070019001	Text	image/tiff					3281	4169	0x28BC53F1			00150000070019001.tif		2006-12-10	2008-02-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/75	75	76.jp2	/chc0015/image/76.jp2
Page 18												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000007	00150000070020001	Text	image/tiff					3269	4180	0x19DE62DC			00150000070020001.tif		2006-12-10	2008-02-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/76	76	77.jp2	/chc0015/image/77.jp2
Page 19												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000007	00150000070021001	Text	image/tiff					3296	4195	0xD3F734A6			00150000070021001.tif		2006-12-10	2008-02-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/77	77	78.jp2	/chc0015/image/78.jp2
Regiones económicas : contribución al estudio de las bases para su establecimiento en Cuba	Arredondo Gutiérrez, Alberto		Typescript report on the economic regions in Cuba, prepared for the 1. Symposium nacional de Recursos Naturales de Cuba, held in February 1958	On cover: SRNC/XI/TA. "Punto XI: Recursos socioeconómicos."  Handwritten revisions on leaves 5, 6 and 11	Cuba -- Economic conditions -- 1918-1959	Typescripts		1958	1950-1960	Havana (Cuba)	1 typewritten document	spa	University of Miami Libraries. Cuban Heritage Collection	Alberto Arrendondo Papers.	CHC0015	Series II. Works by Alberto Arredondo, n.d., 1957-1965.  Sub-series B.  Published Works. Sub-sub-series 1. I Symposium Nacional de Recursos Naturales de Cuba.	Box No. 2;  Folder No. 6;  Folder Title: Regiones Económicas: Contribuición al estudio de las bases para su establecimiento en Cuba;  Folder Date: 1957					http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000007		Text	image/tiff			000007									2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/78	78	79.cpd	/chc0015/image/79.cpd
Page [1]												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000010	00150000100001001	Text	image/tiff					3010	4569	0xCEA28BE8			00150000100001001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/105	105	106.jp2	/chc0015/image/106.jp2
Page [2]												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000010	00150000100002001	Text	image/tiff					3020	4558	0x829EB1BD			00150000100002001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/106	106	107.jp2	/chc0015/image/107.jp2
Page [3]												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000010	00150000100003001	Text	image/tiff					3020	4569	0x71C0FF06			00150000100003001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/107	107	108.jp2	/chc0015/image/108.jp2
Page [4]												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000010	00150000100004001	Text	image/tiff					3020	4569	0xE582B704			00150000100004001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/108	108	109.jp2	/chc0015/image/109.jp2
Page [5]												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000010	00150000100005001	Text	image/tiff					3020	4569	0x3903C09			00150000100005001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/109	109	110.jp2	/chc0015/image/110.jp2
Page [6]												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000010	00150000100006001	Text	image/tiff					3037	4598	0x574939D7			00150000100006001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/110	110	111.jp2	/chc0015/image/111.jp2
Page [7]												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000010	00150000100007001	Text	image/tiff					3123	4423	0xAF5FF0F3			00150000100007001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/111	111	112.jp2	/chc0015/image/112.jp2
Page[ 8]												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000010	00150000100008001	Text	image/tiff					3026	4551	0xA9675D9C			00150000100008001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/112	112	113.jp2	/chc0015/image/113.jp2
Page [9]												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000010	00150000100009001	Text	image/tiff					3020	4544	0xBC095EE0			00150000100009001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/113	113	114.jp2	/chc0015/image/114.jp2
Page [10]												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000010	00150000100010001	Text	image/tiff					3020	4544	0xC8FBFE0F			00150000100010001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/114	114	115.jp2	/chc0015/image/115.jp2
Page [11]												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000010	00150000100011001	Text	image/tiff					2999	4558	0x2F2032A7			00150000100011001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/115	115	116.jp2	/chc0015/image/116.jp2
Notes on employment and salaries in Cuba			A collection of  miscellaneous leaves,mostly typescripts, containing short statistics and notes on industries in Cuba	Several of the leaves have handwritten revisions or additions	Industries -- Cuba; Cuba -- Economic conditions -- 1918-1959	Typescripts		1950s	1950-1960	Cuba	1 typewritten document	spa	University of Miami Libraries. Cuban Heritage Collection	Alberto Arrendondo Papers.	CHC0015	Series IV. Subject Files, n.d., 1949-1968.	Box No. 3;  Folder No. 21;  Folder Title: Cuba: Employment and Salaries;  Folder Date: n.d.					http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000010		Text	image/tiff			000010									2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/116	116	117.cpd	/chc0015/image/117.cpd
Cover												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000009	00150000090001001	Text	image/tiff					3258	4195	0xEDD2B82C			00150000090001001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/117	117	118.jp2	/chc0015/image/118.jp2
Page [1]												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000009	00150000090002001	Text	image/tiff					3269	4207	0x98E615FF			00150000090002001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/118	118	119.jp2	/chc0015/image/119.jp2
Page 2												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000009	00150000090003001	Text	image/tiff					3258	4207	0x6A38BE67			00150000090003001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/119	119	120.jp2	/chc0015/image/120.jp2
Page 3												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000009	00150000090004001	Text	image/tiff					3258	4207	0x9C570FC8			00150000090004001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/120	120	121.jp2	/chc0015/image/121.jp2
Page 4												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000009	00150000090005001	Text	image/tiff					3258	4207	0x79B9F0BD			00150000090005001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/121	121	122.jp2	/chc0015/image/122.jp2
Page 5												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000009	00150000090006001	Text	image/tiff					3269	4195	0x12CD4A50			00150000090006001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/122	122	123.jp2	/chc0015/image/123.jp2
Page 6												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000009	00150000090007001	Text	image/tiff					3258	4195	0xC6F0C8D2			00150000090007001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/123	123	124.jp2	/chc0015/image/124.jp2
Page 7												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000009	00150000090008001	Text	image/tiff					3258	4195	0x81558E8C			00150000090008001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/124	124	125.jp2	/chc0015/image/125.jp2
Page 8												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000009	00150000090009001	Text	image/tiff					3269	4195	0xE2D1560A			00150000090009001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/125	125	126.jp2	/chc0015/image/126.jp2
Page 9												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000009	00150000090010001	Text	image/tiff					3269	4195	0x19815F31			00150000090010001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/126	126	127.jp2	/chc0015/image/127.jp2
Page 10												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000009	00150000090011001	Text	image/tiff					3258	4195	0x5C2DC522			00150000090011001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/127	127	128.jp2	/chc0015/image/128.jp2
Page 11												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000009	00150000090012001	Text	image/tiff					3269	4195	0xA6634D89			00150000090012001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/128	128	129.jp2	/chc0015/image/129.jp2
Page 12												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000009	00150000090013001	Text	image/tiff					3258	4195	0xACCA3F2E			00150000090013001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/129	129	130.jp2	/chc0015/image/130.jp2
